Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Rajagopal Nagar,49249.0,48787.0,35227.0,25452.0,24943.0,16453.0,0.991,0.722,0.723,0.98,8483.0,0.34,0.33399999999999996,2143115.0,6.57,116.78,124679.0
Ranadheera Kanteerava,46845.0,46412.0,30623.0,25551.0,24906.0,16164.0,0.991,0.66,0.8340000000000001,0.975,8733.0,0.35100000000000003,0.345,1933328.0,6.37,112.1,111080.0
Hongasandra,66045.0,65467.0,52043.0,27198.0,26768.0,15798.0,0.991,0.795,0.523,0.9840000000000001,10964.0,0.41,0.239,2311899.0,7.83,141.91,131471.0
Cottonpete,67650.0,66994.0,50956.0,32826.0,32405.0,15118.0,0.99,0.7609999999999999,0.644,0.987,17281.0,0.5329999999999999,0.22399999999999998,2035209.0,6.58,118.78,117399.0
Dayananda Nagar,35860.0,35491.0,25987.0,20503.0,20224.0,13486.0,0.99,0.732,0.789,0.986,6736.0,0.33299999999999996,0.376,1487424.0,5.72,103.47,83810.0
Mudalapalya,34182.0,33913.0,21506.0,19335.0,18953.0,12984.0,0.992,0.634,0.899,0.98,5964.0,0.315,0.38,1622413.0,5.85,105.07,93384.0
Nayandahalli,41688.0,41360.0,27115.0,20901.0,20511.0,12926.0,0.992,0.6559999999999999,0.7709999999999999,0.981,7576.0,0.369,0.31,1826005.0,9.05,160.09,105622.0
Venkateshpura,53359.0,53147.0,41072.0,23750.0,23529.0,12897.0,0.996,0.773,0.578,0.991,10623.0,0.451,0.242,1453487.0,6.19,112.54,79501.0
Azad Nagar,39763.0,39483.0,28953.0,21302.0,20954.0,12675.0,0.993,0.733,0.736,0.9840000000000001,8270.0,0.395,0.319,1532784.0,7.01,125.33,87562.0
Jai Maruthinagara,33022.0,32752.0,22329.0,19042.0,18500.0,12151.0,0.992,0.682,0.853,0.972,6338.0,0.34299999999999997,0.368,1397378.0,5.52,100.04,79844.0
Sunkadakatte,34069.0,33799.0,21816.0,18322.0,17930.0,11471.0,0.992,0.645,0.84,0.9790000000000001,6451.0,0.36,0.337,1485675.0,7.0,138.03,85935.0
Mallasandra,35455.0,35213.0,25485.0,17802.0,17359.0,11329.0,0.993,0.7240000000000001,0.698,0.975,6028.0,0.34700000000000003,0.319,1398636.0,6.89,121.69,80245.0
Veera Sindhura Lakshamana,33045.0,32761.0,21258.0,17405.0,17019.0,11116.0,0.991,0.649,0.8190000000000001,0.978,5900.0,0.34700000000000003,0.336,1359938.0,6.11,109.98,78414.0
Kaveripura,28034.0,27744.0,18644.0,15486.0,15239.0,9824.0,0.99,0.672,0.831,0.9840000000000001,5412.0,0.355,0.35,1313810.0,7.12,123.67,76749.0
Hegganahalli,29838.0,29557.0,19390.0,15783.0,15383.0,9628.0,0.991,0.6559999999999999,0.8140000000000001,0.975,5750.0,0.374,0.32299999999999995,1261951.0,8.58,149.67,73342.0
Vrisabhavathi Nagar,27199.0,26940.0,17322.0,14909.0,14631.0,9475.0,0.991,0.643,0.861,0.981,5149.0,0.35200000000000004,0.348,1145896.0,6.27,110.72,65907.0
Rajeshwari Nagar,28779.0,28581.0,18659.0,14870.0,14391.0,9020.0,0.993,0.653,0.797,0.968,5365.0,0.373,0.313,1082889.0,6.25,112.0,62331.0
Muneshwara Nagar,34615.0,34416.0,25294.0,15178.0,15016.0,8025.0,0.9940000000000001,0.735,0.6,0.9890000000000001,6985.0,0.465,0.23199999999999998,967405.0,6.62,122.02,53837.0
Jagajivanaram Nagar,26740.0,26526.0,19388.0,13672.0,13471.0,6957.0,0.992,0.731,0.705,0.985,6512.0,0.483,0.26,932470.0,9.07,155.48,53891.0
Lakshmi Devi Nagar,19623.0,19467.0,12660.0,10597.0,10356.0,6580.0,0.992,0.65,0.8370000000000001,0.977,3774.0,0.364,0.335,784021.0,7.66,133.48,44959.0
S K Garden,28317.0,28182.0,21614.0,11877.0,11800.0,6492.0,0.995,0.767,0.5489999999999999,0.9940000000000001,5305.0,0.45,0.22899999999999998,817438.0,7.25,132.63,45511.0
Chalavadipalya,23758.0,23618.0,17271.0,11491.0,11350.0,6328.0,0.9940000000000001,0.731,0.665,0.988,5013.0,0.442,0.266,814489.0,6.59,121.66,46499.0
Padarayanapura,20946.0,20772.0,14648.0,10189.0,9934.0,5098.0,0.992,0.705,0.696,0.975,4830.0,0.486,0.243,711850.0,8.93,157.83,40182.0
Bapuji Nagar,18887.0,18768.0,12466.0,9740.0,9629.0,5074.0,0.9940000000000001,0.664,0.7809999999999999,0.9890000000000001,4552.0,0.473,0.26899999999999996,634454.0,6.99,128.51,36059.0
Kempapura Agrahara,16628.0,16463.0,11059.0,8049.0,7934.0,4452.0,0.99,0.672,0.728,0.986,3479.0,0.439,0.268,520021.0,6.26,112.07,29348.0
Devaraj Urs Nagar,17831.0,17746.0,12387.0,8865.0,8724.0,4040.0,0.995,0.698,0.716,0.9840000000000001,4683.0,0.537,0.22699999999999998,507415.0,5.45,97.72,28547.0
Devara Jeevanahalli,9611.0,9548.0,7245.0,3770.0,3730.0,1407.0,0.993,0.759,0.52,0.9890000000000001,2323.0,0.623,0.146,190579.0,5.9,114.0,10687.0
Bangalore Total,67334064.0,66443051.0,52916372.0,30017755.0,29453513.0,18628581.0,0.987,0.7959999999999999,0.5670000000000001,0.981,10817296.0,0.36700000000000005,0.27699999999999997,2679910491.0,8.16,143.86,152007679.0
